Name	Link	Family	Max Thickness (%)	x-Locationof Max Thickness (%)	Camber (%)	Data Sources	Cl max	Cl/Cd max	Cd @ Cl=0.1	Cd @ Cl=0.4	Cd @ Cl=0.6
A18 (SMOOTHED)	A18 (smoothed)	Uncategorized	7.3	26.5	3.8	JF XF	1.31	84	0.011	0.011	0.011
A6014-S	A6014-S	Ayers	6	30.1	1.4	JF XF	0.76	96	0.005	0.077	0.077
A6016-S	A6016-S	Ayers	6	30.1	1.6	JF XF	0.8	101	0.005	0.006	0.078
A6018-S	A6018-S	Ayers	6	31.9	1.8	JF XF	0.8	101	0.005	0.005	0.077
A6020-S	A6020-S	Ayers	6	31.9	2	JF XF	0.82	104	0.006	0.077	0.077
A6516-S	A6516-S	Ayers	6.5	30.1	1.6	JF XF	0.78	101	0.005	0.075	0.075
A6518-S	A6518-S	Ayers	6.5	31.9	1.8	JF XF	0.84	102	0.005	0.081	0.081
A6520-S	A6520-S	Ayers	6.6	31.9	2	JF XF	0.85	105	0.006	0.005	0.081
A6522-S	A6522-S	Ayers	6.5	31.9	2.1	JF XF	0.86	104	0.006	0.005	0.075
A7018-S	A7018-S	Ayers	7	30.1	1.8	JF XF	0.91	102	0.005	0.005	0.089
A7020-S	A7020-S	Ayers	7	31.9	1.9	JF XF	0.93	104	0.006	0.005	0.091
A7022-S	A7022-S	Ayers	7	31.9	2.2	JF XF	0.89	106	0.006	0.005	0.077
A7024-S	A7024-S	Ayers	7	31.9	2.4	JF XF	0.93	120	0.006	0.005	0.078
A7520-S	A7520-S	Ayers	7.5	30.1	2	JF XF	0.94	101	0.006	0.005	0.087
A7522-S	A7522-S	Ayers	7.5	31.9	2.2	JF XF	0.93	105	0.006	0.005	0.079
A7524-S	A7524-S	Ayers	7.6	31.9	2.3	JF XF	1.03	116	0.006	0.005	0.097
A7526-S	A7526-S	Ayers	7.5	31.9	2.6	JF XF	1.03	120	0.006	0.005	0.085
ABRIAL17	Abrial17	Uncategorized	10	24.8	3.2	JF XF	1.12	116	0.008	0.008	0.006
AG03 (FLAT AFT BOTTOM)	AG03 (flat aft bottom)	Drela	6.2	24.7	2	JF XF	1.01	100	0.008	0.007	0.08
AG04	AG04	Drela	6.4	21.4	1.7	JF XF	0.96	93	0.008	0.007	0.079
